state,year,month,deaths
DC,2015,September,100.0
DC,2015,October,100.0
DC,2015,November,100.0
DC,2015,December,100.0
DC,2016,January,100.0
DC,2016,February,100.0
DC,2016,March,100.0
DC,2016,April,99.42528735632179
DC,2016,May,99.4949494949495
DC,2016,June,99.03846153846149
DC,2016,July,99.0867579908676
DC,2016,August,99.163179916318
DC,2016,September,99.1902834008097
DC,2016,October,99.22779922779921
DC,2016,November,99.3079584775086
DC,2016,December,99.3333333333333
DC,2017,January,99.3865030674847
DC,2017,February,99.4169096209913
DC,2017,March,99.4413407821229
DC,2017,April,99.4666666666667
DC,2017,May,99.4736842105263
DC,2017,June,99.7395833333333
DC,2017,July,99.2167101827676
DC,2017,August,99.2042440318302
DC,2017,September,98.94736842105259
DC,2017,October,98.921832884097
DC,2017,November,98.84057971014491
DC,2015,January,3.0
DC,2015,February,3.0
DC,2015,March,3.0
DC,2015,April,3.0
DC,2015,May,3.0
DC,2015,June,5.0
DC,2015,July,4.0
DC,2015,August,5.0
DC,2015,September,5.0
DC,2015,October,5.0
DC,2015,November,5.0
DC,2015,December,5.0
DC,2016,January,5.0
DC,2016,February,5.0
DC,2016,March,5.0
DC,2016,April,5.0
DC,2016,May,5.0
DC,2016,June,3.0
DC,2016,July,3.0
DC,2016,August,2.0
DC,2016,September,3.0
DC,2016,October,4.0
DC,2016,November,5.0
DC,2016,December,5.0
DC,2017,January,6.0
DC,2017,February,7.0
DC,2017,March,7.0
DC,2017,April,10.0
DC,2017,May,12.0
DC,2017,June,13.0
DC,2017,July,13.0
DC,2017,August,12.0
DC,2017,September,12.0
DC,2017,October,14.0
DC,2017,November,14.0
DC,2015,January,15.0
DC,2015,February,17.0
DC,2015,March,20.0
DC,2015,April,20.0
DC,2015,May,23.0
DC,2015,June,19.0
DC,2015,July,17.0
DC,2015,August,17.0
DC,2015,September,20.0
DC,2015,October,18.0
DC,2015,November,24.0
DC,2015,December,28.0
DC,2016,January,32.0
DC,2016,February,31.0
DC,2016,March,39.0
DC,2016,April,50.0
DC,2016,May,66.0
DC,2016,June,76.0
DC,2016,July,86.0
DC,2016,August,96.0
DC,2016,September,104.0
DC,2016,October,118.0
DC,2016,November,140.0
